event_type,template,arg1,arg2,arg3,arg4,arg5
contact.discussion.correspondence,what is the <arg> in <trg>,evt033arg01participant,evt033arg02participant,evt033arg03place,,
contact.discussion.meet,what is the <arg> in <trg>,evt034arg01participant,evt034arg02participant,evt034arg03place,,
contact.funeralvigil.unspecified,what is the <arg> in <trg>,evt035arg01participant,evt035arg02participant,evt035arg03deceased,evt035arg04place,
contact.funeralvigil.meet,what is the <arg> in <trg>,evt036arg01participant,evt036arg02participant,evt036arg03deceased,evt036arg04place,
contact.mediastatement.unspecified,what is the <arg> in <trg>,evt037arg01communicator,evt037arg02recipient,evt037arg03place,,
contact.mediastatement.broadcast,what is the <arg> in <trg>,evt038arg01communicator,evt038arg02recipient,evt038arg03place,,
contact.negotiate.unspecified,what is the <arg> in <trg>,evt039arg01participant,evt039arg02participant,evt039arg03place,evt039arg04topic,
contact.negotiate.correspondence,what is the <arg> in <trg>,evt040arg01participant,evt040arg02participant,evt040arg03place,evt040arg04topic,
contact.negotiate.meet,what is the <arg> in <trg>,evt041arg01participant,evt041arg02participant,evt041arg03place,evt041arg04topic,
contact.prevarication.unspecified,what is the <arg> in <trg>,evt042arg01communicator,evt042arg02recipient,evt042arg03place,evt042arg04topic,
contact.prevarication.broadcast,what is the <arg> in <trg>,evt043arg01communicator,evt043arg02recipient,evt043arg03place,evt043arg04topic,
contact.prevarication.correspondence,what is the <arg> in <trg>,evt044arg01communicator,evt044arg02recipient,evt044arg03place,evt044arg04topic,
contact.prevarication.meet,what is the <arg> in <trg>,evt045arg01communicator,evt045arg02recipient,evt045arg03place,evt045arg04topic,
contact.publicstatementinperson.unspecified,what is the <arg> in <trg>,evt046arg01communicator,evt046arg02recipient,evt046arg03place,,
contact.publicstatementinperson.broadcast,what is the <arg> in <trg>,evt047arg01communicator,evt047arg02recipient,evt047arg03place,,
contact.requestadvise.unspecified,what is the <arg> in <trg>,evt048arg01communicator,evt048arg02recipient,evt048arg03place,evt048arg04topic,
contact.requestadvise.broadcast,what is the <arg> in <trg>,evt049arg01communicator,evt049arg02recipient,evt049arg03place,evt049arg04topic,
contact.requestadvise.correspondence,what is the <arg> in <trg>,evt050arg01communicator,evt050arg02recipient,evt050arg03place,evt050arg04topic,
contact.requestadvise.meet,what is the <arg> in <trg>,evt051arg01communicator,evt051arg02recipient,evt051arg03place,evt051arg04topic,
contact.threatencoerce.unspecified,what is the <arg> in <trg>,evt052arg01communicator,evt052arg02recipient,evt052arg03place,evt052arg04topic,
contact.threatencoerce.broadcast,what is the <arg> in <trg>,evt053arg01communicator,evt053arg02recipient,evt053arg03place,evt053arg04topic,
contact.threatencoerce.correspondence,what is the <arg> in <trg>,evt054arg01communicator,evt054arg02recipient,evt054arg03place,evt054arg04topic,
contact.threatencoerce.meet,what is the <arg> in <trg>,evt055arg01communicator,evt055arg02recipient,evt055arg03place,evt055arg04topic,
disaster.accidentcrash.accidentcrash,what is the <arg> in <trg>,evt057arg01driverpassenger,evt057arg02vehicle,evt057arg03crashobject,evt057arg04place,
disaster.diseaseoutbreak.diseaseoutbreak,what is the <arg> in <trg>,evt148arg01disease ,evt148arg02victim ,evt148arg03place ,,
disaster.fireexplosion.fireexplosion,what is the <arg> in <trg>,evt059arg01fireexplosionobject,evt059arg02instrument,evt059arg03place,,
genericcrime.genericcrime.genericcrime,what is the <arg> in <trg>,evt154arg01perpetrator ,evt154arg02victim ,evt154arg03place ,,
government.agreements.unspecified,what is the <arg> in <trg>,evt060arg01participant,evt060arg02participant,evt060arg03place,,
government.agreements.acceptagreementcontractceasefire,what is the <arg> in <trg>,evt061arg01participant,evt061arg02participant,evt061arg03place,,
government.agreements.rejectnullifyagreementcontractceasefire,what is the <arg> in <trg>,evt062arg01rejecternullifier,evt062arg02otherparticipant,evt062arg03place,,
government.agreements.violateagreement,what is the <arg> in <trg>,evt063arg01violator,evt063arg02otherparticipant,evt063arg03place,,
government.convene.convene,what is the <arg> in <trg>,evt145arg01convener ,evt145arg02convenedthing ,evt145arg03place ,,
government.formation.unspecified,what is the <arg> in <trg>,evt064arg01gpe,evt064arg02founder,evt064arg03place,,
government.formation.mergegpe,what is the <arg> in <trg>,evt065arg01participant,evt065arg02participant,evt065arg03place,,
government.formation.startgpe,what is the <arg> in <trg>,evt066arg01gpe,evt066arg02founder,evt066arg03place,,
government.legislate.legislate,what is the <arg> in <trg>,evt068arg01governmentbody,evt068arg02law,evt068arg03place,,
government.spy.spy,what is the <arg> in <trg>,evt070arg01spy,evt070arg02observedentity,evt070arg03beneficiary,evt070arg04place,
government.vote.unspecified,what is the <arg> in <trg>,evt071arg01voter,evt071arg02candidate,evt071arg03ballot,evt071arg04result,evt071arg05place
government.vote.castvote,what is the <arg> in <trg>,evt072arg01voter,evt072arg02candidate,evt072arg03ballot,evt072arg04result,evt072arg05place
government.vote.violationspreventvote,what is the <arg> in <trg>,evt073arg01preventer,evt073arg02voter,evt073arg03candidate,evt073arg04ballot,evt073arg05place
inspection.sensoryobserve.unspecified,what is the <arg> in <trg>,evt074arg01observer,evt074arg02observedentity,evt074arg03place,,
inspection.sensoryobserve.inspectpeopleorganization,what is the <arg> in <trg>,evt075arg01inspector,evt075arg02inspectedentity,evt075arg03place,,
inspection.sensoryobserve.monitorelection,what is the <arg> in <trg>,evt076arg01monitor,evt076arg02monitoredentity,evt076arg03place,,
inspection.sensoryobserve.physicalinvestigateinspect,what is the <arg> in <trg>,evt077arg01inspector,evt077arg02inspectedentity,evt077arg03place,,
inspection.targetaimat.targetaimat,what is the <arg> in <trg>,evt153arg01targeter ,evt153arg02target ,evt153arg03instrument ,evt153arg04place ,
justice.arrestjaildetain.arrestjaildetain,what is the <arg> in <trg>,evt079arg01jailer,evt079arg02detainee,evt079arg03crime,evt079arg04place,
justice.initiatejudicialprocess.unspecified,what is the <arg> in <trg>,evt080arg01prosecutor,evt080arg02defendant,evt080arg03judgecourt,evt080arg04crime,evt080arg05place
justice.initiatejudicialprocess.chargeindict,what is the <arg> in <trg>,evt081arg01prosecutor,evt081arg02defendant,evt081arg03judgecourt,evt081arg04crime,evt081arg05place
justice.initiatejudicialprocess.trialhearing,what is the <arg> in <trg>,evt082arg01prosecutor,evt082arg02defendant,evt082arg03judgecourt,evt082arg04crime,evt082arg05place
justice.investigate.unspecified,what is the <arg> in <trg>,evt083arg01investigator,evt083arg02defendant,evt083arg03place,,
justice.investigate.investigatecrime,what is the <arg> in <trg>,evt084arg01investigator,evt084arg02defendant,evt084arg03crime,evt084arg04place,
justice.judicialconsequences.unspecified,what is the <arg> in <trg>,evt085arg01judgecourt,evt085arg02defendant,evt085arg03crime,evt085arg04place,
justice.judicialconsequences.convict,what is the <arg> in <trg>,evt086arg01judgecourt,evt086arg02defendant,evt086arg03crime,evt086arg04place,
justice.judicialconsequences.execute,what is the <arg> in <trg>,evt087arg01executioner,evt087arg02defendant,evt087arg03crime,evt087arg04place,
justice.judicialconsequences.extradite,what is the <arg> in <trg>,evt088arg01extraditer,evt088arg02defendant,evt088arg03crime,evt088arg04origin,evt088arg05destination
life.die.unspecified,what is the <arg> in <trg>,evt089arg01victim,evt089arg02place,evt089arg03killer,evt089arg04medicalissue,
life.die.deathcausedbyviolentevents,what is the <arg> in <trg>,evt090arg01killer,evt090arg02victim,evt090arg03instrument,evt090arg04place,evt090arg05medicalissue
life.die.nonviolentdeath,what is the <arg> in <trg>,evt091arg01victim,evt091arg02place,evt091arg03killer,evt091arg04medicalissue,
life.injure.unspecified,what is the <arg> in <trg>,evt092arg01victim,evt092arg02injurer,evt092arg03place,evt092arg04medicalissue,
life.injure.illnessdegradationhungerthirst,what is the <arg> in <trg>,evt093arg01victim,evt093arg02place,evt093arg03injurer,evt093arg04medicalissue,
life.injure.illnessdegradationphysical,what is the <arg> in <trg>,evt094arg01victim,evt094arg02place,evt094arg03injurer,evt094arg04medicalissue,
life.injure.illnessdegredationsickness,what is the <arg> in <trg>,evt150arg01victim ,evt150arg02injurer ,evt150arg03disease ,evt150arg04place ,
life.injure.injurycausedbyviolentevents,what is the <arg> in <trg>,evt095arg01injurer,evt095arg02victim,evt095arg03instrument,evt095arg04place,evt095arg05medicalissue
manufacture.artifact.unspecified,what is the <arg> in <trg>,evt096arg01manufacturer,evt096arg02artifact,evt096arg03instrument,evt096arg04place,
manufacture.artifact.build,what is the <arg> in <trg>,evt097arg01manufacturer,evt097arg02artifact,evt097arg03instrument,evt097arg04place,
manufacture.artifact.createintellectualproperty,what is the <arg> in <trg>,evt098arg01manufacturer,evt098arg02artifact,evt098arg03instrument,evt098arg04place,
manufacture.artifact.createmanufacture,what is the <arg> in <trg>,evt099arg01manufacturer,evt099arg02artifact,evt099arg03instrument,evt099arg04place,
medical.intervention.intervention,what is the <arg> in <trg>,evt147arg01treater ,evt147arg02patient ,evt147arg03medicalissue ,evt147arg04instrument ,evt147arg05place 
movement.transportartifact.unspecified,what is the <arg> in <trg>,evt100arg01transporter,evt100arg02artifact,evt100arg03vehicle,evt100arg04origin,evt100arg05destination
movement.transportartifact.bringcarryunload,what is the <arg> in <trg>,evt101arg01transporter,evt101arg02artifact,evt101arg03vehicle,evt101arg04origin,evt101arg05destination
movement.transportartifact.disperseseparate,what is the <arg> in <trg>,evt102arg01transporter,evt102arg02artifact,evt102arg03vehicle,evt102arg04origin,evt102arg05destination
movement.transportartifact.fall,what is the <arg> in <trg>,evt103arg01artifact,evt103arg02origin,evt103arg03destination,,
movement.transportartifact.grantentry,what is the <arg> in <trg>,evt104arg01transporter,evt104arg02artifact,evt104arg03origin,evt104arg04destination,
movement.transportartifact.hide,what is the <arg> in <trg>,evt105arg01transporter,evt105arg02artifact,evt105arg03hidingplace,evt105arg04vehicle,evt105arg05origin
movement.transportartifact.lossofcontrol,what is the <arg> in <trg>,evt146arg01controller ,evt146arg02controlledthing ,evt146arg03place ,,
movement.transportartifact.nonviolentthrowlaunch,what is the <arg> in <trg>,evt106arg01transporter,evt106arg02artifact,evt106arg03vehicle,evt106arg04origin,evt106arg05destination
movement.transportartifact.prevententry,what is the <arg> in <trg>,evt107arg01preventer,evt107arg02transporter,evt107arg03artifact,evt107arg04origin,evt107arg05destination
movement.transportartifact.preventexit,what is the <arg> in <trg>,evt108arg01preventer,evt108arg02transporter,evt108arg03artifact,evt108arg04origin,evt108arg05destination
movement.transportartifact.receiveimport,what is the <arg> in <trg>,evt109arg01transporter,evt109arg02artifact,evt109arg03vehicle,evt109arg04origin,evt109arg05destination
movement.transportartifact.sendsupplyexport,what is the <arg> in <trg>,evt110arg01transporter,evt110arg02artifact,evt110arg03vehicle,evt110arg04origin,evt110arg05destination
movement.transportartifact.smuggleextract,what is the <arg> in <trg>,evt111arg01transporter,evt111arg02artifact,evt111arg03vehicle,evt111arg04origin,evt111arg05destination
movement.transportperson.unspecified,what is the <arg> in <trg>,evt112arg01transporter,evt112arg02passenger,evt112arg03vehicle,evt112arg04origin,evt112arg05destination
movement.transportperson.bringcarryunload,what is the <arg> in <trg>,evt113arg01transporter,evt113arg02passenger,evt113arg03vehicle,evt113arg04origin,evt113arg05destination
movement.transportperson.disperseseparate,what is the <arg> in <trg>,evt114arg01transporter,evt114arg02passenger,evt114arg03vehicle,evt114arg04origin,evt114arg05destination
movement.transportperson.evacuationrescue,what is the <arg> in <trg>,evt115arg01transporter,evt115arg02passenger,evt115arg03vehicle,evt115arg04origin,evt115arg05destination
movement.transportperson.fall,what is the <arg> in <trg>,evt116arg01passenger,evt116arg02origin,evt116arg03destination,,
movement.transportperson.grantentryasylum,what is the <arg> in <trg>,evt117arg01granter,evt117arg02transporter,evt117arg03passenger,evt117arg04origin,evt117arg05destination
movement.transportperson.hide,what is the <arg> in <trg>,evt118arg01transporter,evt118arg02passenger,evt118arg03hidingplace,evt118arg04vehicle,evt118arg05origin
movement.transportperson.prevententry,what is the <arg> in <trg>,evt119arg01preventer,evt119arg02transporter,evt119arg03passenger,evt119arg04origin,evt119arg05destination
movement.transportperson.preventexit,what is the <arg> in <trg>,evt120arg01preventer,evt120arg02transporter,evt120arg03passenger,evt120arg04origin,evt120arg05destination
movement.transportperson.selfmotion,what is the <arg> in <trg>,evt121arg01transporter,evt121arg02vehicle,evt121arg03origin,evt121arg04destination,
movement.transportperson.smuggleextract,what is the <arg> in <trg>,evt122arg01transporter,evt122arg02passenger,evt122arg03vehicle,evt122arg04origin,evt122arg05destination
personnel.elect.unspecified,what is the <arg> in <trg>,evt123arg01voter,evt123arg02candidate,evt123arg03place,,
personnel.elect.winelection,what is the <arg> in <trg>,evt124arg01voter,evt124arg02candidate,evt124arg03place,,
personnel.endposition.unspecified,what is the <arg> in <trg>,evt125arg01employee,evt125arg02placeofemployment,evt125arg03place,,
personnel.endposition.firinglayoff,what is the <arg> in <trg>,evt126arg01employee,evt126arg02placeofemployment,evt126arg03place,,
personnel.endposition.quitretire,what is the <arg> in <trg>,evt127arg01employee,evt127arg02placeofemployment,evt127arg03place,,
personnel.startposition.unspecified,what is the <arg> in <trg>,evt128arg01employee,evt128arg02placeofemployment,evt128arg03place,,
personnel.startposition.hiring,what is the <arg> in <trg>,evt129arg01employee,evt129arg02placeofemployment,evt129arg03place,,
transaction.transaction.unspecified,what is the <arg> in <trg>,evt130arg01participant,evt130arg02participant,evt130arg03beneficiary,evt130arg04place,
transaction.transaction.embargosanction,what is the <arg> in <trg>,evt131arg01preventer,evt131arg02giver,evt131arg03recipient,evt131arg04artifactmoney,evt131arg05place
transaction.transaction.giftgrantprovideaid,what is the <arg> in <trg>,evt132arg01giver,evt132arg02recipient,evt132arg03beneficiary,evt132arg04place,
transaction.transfermoney.unspecified,what is the <arg> in <trg>,evt133arg01giver,evt133arg02recipient,evt133arg03beneficiary,evt133arg04money,evt133arg05place
transaction.transfermoney.borrowlend,what is the <arg> in <trg>,evt134arg01giver,evt134arg02recipient,evt134arg03beneficiary,evt134arg04money,evt134arg05place
transaction.transfermoney.embargosanction,what is the <arg> in <trg>,evt135arg01preventer,evt135arg02giver,evt135arg03recipient,evt135arg04money,evt135arg05place
transaction.transfermoney.giftgrantprovideaid,what is the <arg> in <trg>,evt136arg01giver,evt136arg02recipient,evt136arg03beneficiary,evt136arg04money,evt136arg05place
transaction.transfermoney.payforservice,what is the <arg> in <trg>,evt137arg01giver,evt137arg02recipient,evt137arg03beneficiary,evt137arg04money,evt137arg05place
transaction.transfermoney.purchase,what is the <arg> in <trg>,evt138arg01giver,evt138arg02recipient,evt138arg03beneficiary,evt138arg04money,evt138arg05place
transaction.transferownership.unspecified,what is the <arg> in <trg>,evt139arg01giver,evt139arg02recipient,evt139arg03beneficiary,evt139arg04artifact,evt139arg05place
transaction.transferownership.borrowlend,what is the <arg> in <trg>,evt140arg01giver,evt140arg02recipient,evt140arg03beneficiary,evt140arg04artifact,evt140arg05place
transaction.transferownership.embargosanction,what is the <arg> in <trg>,evt141arg01preventer,evt141arg02giver,evt141arg03recipient,evt141arg04artifact,evt141arg05place
transaction.transferownership.giftgrantprovideaid,what is the <arg> in <trg>,evt142arg01giver,evt142arg02recipient,evt142arg03beneficiary,evt142arg04artifact,evt142arg05place
transaction.transferownership.purchase,what is the <arg> in <trg>,evt143arg01giver,evt143arg02recipient,evt143arg03beneficiary,evt143arg04artifact,evt143arg05place
transaction.transaction.transfercontrol,what is the <arg> in <trg>,evt144arg01giver,evt144arg02recipient,evt144arg03beneficiary,evt144arg04territoryorfacility,evt144arg05place
