event_type,template,arg1,arg2,arg3,arg4,arg5
conflict.attack.biologicalchemicalpoisonattack,Attacker attacked target using something at <arg4> place,,,,evt006arg04place,
conflict.attack.bombing,<arg1> attacked target using something at place,evt007arg01attacker,,,,
conflict.attack.bombing,Attacker attacked <arg2> using something at place,,evt007arg02target,,,
conflict.attack.bombing,Attacker attacked target using <arg3> at place,,,evt007arg03instrument,,
conflict.attack.bombing,Attacker attacked target using something at <arg4> place,,,,evt007arg04place,
conflict.attack.firearmattack,<arg1> attacked target using something at place,evt008arg01attacker,,,,
conflict.attack.firearmattack,Attacker attacked <arg2> using something at place,,evt008arg02target,,,
conflict.attack.firearmattack,Attacker attacked target using <arg3> at place,,,evt008arg03instrument,,
conflict.attack.firearmattack,Attacker attacked target using something at <arg4> place,,,,evt008arg04place,
conflict.attack.hanging,<arg1> attacked target using something at place,evt009arg01attacker,,,,
conflict.attack.hanging,Attacker attacked <arg2> using something at place,,evt009arg02target,,,
conflict.attack.hanging,Attacker attacked target using <arg3> at place,,,evt009arg03instrument,,
conflict.attack.hanging,Attacker attacked target using something at <arg4> place,,,,evt009arg04place,
conflict.attack.invade,<arg1> attacked target using something at place,evt010arg01attacker,,,,
conflict.attack.invade,Attacker attacked <arg2> using something at place,,evt010arg02target,,,
conflict.attack.invade,Attacker attacked target using <arg3> at place,,,evt010arg03instrument,,
conflict.attack.invade,Attacker attacked target using something at <arg4> place,,,,evt010arg04place,
conflict.attack.selfdirectedbattle,<arg1> attacked target using something at place,evt011arg01attacker,,,,
conflict.attack.selfdirectedbattle,Attacker attacked <arg2> using something at place,,evt011arg02target,,,
conflict.attack.selfdirectedbattle,Attacker attacked target using <arg3> at place,,,evt011arg03instrument,,
conflict.attack.selfdirectedbattle,Attacker attacked target using something at <arg4> place,,,,evt011arg04place,
conflict.attack.setfire,<arg1> attacked target using something at place,evt012arg01attacker,,,,
conflict.attack.setfire,Attacker attacked <arg2> using something at place,,evt012arg02target,,,
conflict.attack.setfire,Attacker attacked target using <arg3> at place,,,evt012arg03instrument,,
conflict.attack.setfire,Attacker attacked target using something at <arg4> place,,,,evt012arg04place,
conflict.attack.stabbing,<arg1> attacked target using something at place,evt013arg01attacker,,,,
conflict.attack.stabbing,Attacker attacked <arg2> using something at place,,evt013arg02target,,,
conflict.attack.stabbing,Attacker attacked target using <arg3> at place,,,evt013arg03instrument,,
conflict.attack.stabbing,Attacker attacked target using something at <arg4> place,,,,evt013arg04place,
conflict.attack.stealrobhijack,<arg1> attacked target using something at place in order to take something,evt014arg01attacker,,,,
conflict.attack.stealrobhijack,Attacker attacked <arg2> using something at place in order to take something,,evt014arg02target,,,
conflict.attack.stealrobhijack,Attacker attacked target using <arg3> at place in order to take something,,,evt014arg03instrument,,
conflict.attack.stealrobhijack,Attacker attacked target using something at <arg4> place in order to take something,,,,evt014arg04place,
conflict.attack.stealrobhijack,Attacker attacked target using something at place in order to take <arg5>,,,,,evt014arg05artifact
conflict.attack.strangling,<arg1> attacked target using something at place,evt015arg01attacker,,,,
conflict.attack.strangling,Attacker attacked <arg2> using something at place,,evt015arg02target,,,
conflict.attack.strangling,Attacker attacked target using <arg3> at place,,,evt015arg03instrument,,
conflict.attack.strangling,Attacker attacked target using something at <arg4> place,,,,evt015arg04place,
conflict.coup.coup,<arg1> was deposed by somebody at place,evt151arg01deposedentity ,,,,
conflict.coup.coup,Somebody was deposed by <arg2> at place,,evt151arg02deposingentity ,,,
conflict.coup.coup,Somebody was deposed by somebody at <arg3> place,,,evt151arg03place ,,
conflict.demonstrate.unspecified,<arg1> was in a demonstration at place,evt016arg01demonstrator,,,,
conflict.demonstrate.unspecified,Demonstrator was in a demonstration at <arg2> place,,evt016arg02place,,,
conflict.demonstrate.marchprotestpoliticalgathering,<arg1> was in a demonstration or protest at place,evt017arg01demonstrator,,,,
conflict.demonstrate.marchprotestpoliticalgathering,Demonstrator was in a demonstration or protest at <arg2> place,,evt017arg02place,,,
conflict.yield.unspecified,<arg1> yielded to recipient at place,evt018arg01yielder,,,,
conflict.yield.unspecified,Yielder yielded to <arg2> at place,,evt018arg02recipient,,,
conflict.yield.unspecified,Yielder yielded to recipient at <arg3> place,,,evt018arg03place,,
conflict.yield.retreat,<arg1> retreated from original place to target place,evt019arg01retreater,,,,
conflict.yield.retreat,Retreater retreated from <arg2> place to target place,,evt019arg02origin,,,
conflict.yield.retreat,Retreater retreated from original place to <arg3> place,,,evt019arg03destination,,
conflict.yield.surrender,<arg1> surrendered to recipient at place,evt020arg01surrenderer,,,,
conflict.yield.surrender,Surrenderer surrendered to <arg2> at place,,evt020arg02recipient,,,
conflict.yield.surrender,Surrenderer surrendered to recipient at <arg3> place,,,evt020arg03place,,
contact.collaborate.unspecified,<arg1> communicated with participant at place,evt021arg01participant,,,,
contact.collaborate.unspecified,Participant communicated with <arg2> at place,,evt021arg02participant,,,
contact.collaborate.unspecified,Participant communicated with participant at <arg3> place,,,evt021arg03place,,
contact.collaborate.correspondence,<arg1> communicated remotely with participant at place,evt022arg01participant,,,,
contact.collaborate.correspondence,Participant communicated remotely with <arg2> at place,,evt022arg02participant,,,
contact.collaborate.correspondence,Participant communicated remotely with participant at <arg3> place,,,evt022arg03place,,
contact.collaborate.meet,<arg1> met face-to-face with participant at place,evt023arg01participant,,,,
contact.collaborate.meet,Participant met face-to-face with <arg2> at place,,evt023arg02participant,,,
contact.collaborate.meet,Participant met face-to-face with participant at <arg3> place,,,evt023arg03place,,
contact.commandorder.unspecified,<arg1> communicated with recipient about topic at place,evt024arg01communicator,,,,
contact.commandorder.unspecified,Communicator communicated with <arg2> about topic at place,,evt024arg02recipient,,,
contact.commandorder.unspecified,Communicator communicated with recipient about topic at <arg3> place,,,evt024arg03place,,
contact.commandorder.unspecified,Communicator communicated with recipient about <arg4> topic at place,,,,evt024arg04topic,
contact.commandorder.broadcast,<arg1> communicated to recipient about topic at place (one-way communication),evt025arg01communicator,,,,
contact.commandorder.broadcast,Communicator communicated to <arg2> about topic at place (one-way communication),,evt025arg02recipient,,,
contact.commandorder.broadcast,Communicator communicated to recipient about topic at <arg3> place (one-way communication),,,evt025arg03place,,
contact.commandorder.broadcast,Communicator communicated to recipient about <arg4> topic at place (one-way communication),,,,evt025arg04topic,
contact.commandorder.correspondence,<arg1> communicated remotely with recipient about topic at place,evt026arg01communicator,,,,
contact.commandorder.correspondence,Communicator communicated remotely with <arg2> about topic at place,,evt026arg02recipient,,,
contact.commandorder.correspondence,Communicator communicated remotely with recipient about topic at <arg3> place,,,evt026arg03place,,
contact.commandorder.correspondence,Communicator communicated remotely with recipient about <arg4> topic at place,,,,evt026arg04topic,
contact.commandorder.meet,<arg1> met face-to-face with recipient about topic at place,evt027arg01communicator,,,,
contact.commandorder.meet,Communicator met face-to-face with <arg2> about topic at place,,evt027arg02recipient,,,
contact.commandorder.meet,Communicator met face-to-face with recipient about topic at <arg3> place,,,evt027arg03place,,
contact.commandorder.meet,Communicator met face-to-face with recipient about <arg4> topic at place,,,,evt027arg04topic,
contact.commitmentpromiseexpressintent.unspecified,<arg1> communicated with recipient about topic at place,evt028arg01communicator,,,,
contact.commitmentpromiseexpressintent.unspecified,Communicator communicated with <arg2> about topic at place,,evt028arg02recipient,,,
contact.commitmentpromiseexpressintent.unspecified,Communicator communicated with recipient about topic at <arg3> place,,,evt028arg03place,,
contact.commitmentpromiseexpressintent.unspecified,Communicator communicated with recipient about <arg4> topic at place,,,,evt028arg04topic,
contact.commitmentpromiseexpressintent.broadcast,<arg1> communicated to recipient about topic at place (one-way communication),evt029arg01communicator,,,,
contact.commitmentpromiseexpressintent.broadcast,Communicator communicated to <arg2> about topic at place (one-way communication),,evt029arg02recipient,,,
contact.commitmentpromiseexpressintent.broadcast,Communicator communicated to recipient about topic at <arg3> place (one-way communication),,,evt029arg03place,,
contact.commitmentpromiseexpressintent.broadcast,Communicator communicated to recipient about <arg4> topic at place (one-way communication),,,,evt029arg04topic,
contact.commitmentpromiseexpressintent.correspondence,<arg1> communicated remotely with recipient about topic at place,evt030arg01communicator,,,,
contact.commitmentpromiseexpressintent.correspondence,Communicator communicated remotely with <arg2> about topic at place,,evt030arg02recipient,,,
contact.commitmentpromiseexpressintent.correspondence,Communicator communicated remotely with recipient about topic at <arg3> place,,,evt030arg03place,,
contact.commitmentpromiseexpressintent.correspondence,Communicator communicated remotely with recipient about <arg4> topic at place,,,,evt030arg04topic,
contact.commitmentpromiseexpressintent.meet,<arg1> met face-to-face with recipient about topic at place,evt031arg01communicator,,,,
contact.commitmentpromiseexpressintent.meet,Communicator met face-to-face with <arg2> about topic at place,,evt031arg02recipient,,,
contact.commitmentpromiseexpressintent.meet,Communicator met face-to-face with recipient about topic at <arg3> place,,,evt031arg03place,,
contact.commitmentpromiseexpressintent.meet,Communicator met face-to-face with recipient about <arg4> topic at place,,,,evt031arg04topic,
contact.discussion.unspecified,<arg1> communicated with participant at place,evt032arg01participant,,,,
contact.discussion.unspecified,Participant communicated with <arg2> at place,,evt032arg02participant,,,
contact.discussion.unspecified,Participant communicated with participant at <arg3> place,,,evt032arg03place,,
contact.discussion.correspondence,<arg1> communicated remotely with participant at place,evt033arg01participant,,,,
contact.discussion.correspondence,Participant communicated remotely with <arg2> at place,,evt033arg02participant,,,
contact.discussion.correspondence,Participant communicated remotely with participant at <arg3> place,,,evt033arg03place,,
contact.discussion.meet,<arg1> met face-to-face with participant at place,evt034arg01participant,,,,
contact.discussion.meet,Participant met face-to-face with <arg2> at place,,evt034arg02participant,,,
contact.discussion.meet,Participant met face-to-face with participant at <arg3> place,,,evt034arg03place,,
contact.funeralvigil.unspecified,<arg1> communicated with participant during a funeral or vigil for something at place,evt035arg01participant,,,,
contact.funeralvigil.unspecified,Participant communicated with <arg2> during a funeral or vigil for something at place,,evt035arg02participant,,,
contact.funeralvigil.unspecified,Participant communicated with participant during a funeral or vigil for <arg3> at place,,,evt035arg03deceased,,
contact.funeralvigil.unspecified,Participant communicated with participant during a funeral or vigil for something at <arg4> place,,,,evt035arg04place,
contact.funeralvigil.meet,<arg1> met face-to-face with participant during a funeral or vigil for something at place,evt036arg01participant,,,,
contact.funeralvigil.meet,Participant met face-to-face with <arg2> during a funeral or vigil for something at place,,evt036arg02participant,,,
contact.funeralvigil.meet,Participant met face-to-face with participant during a funeral or vigil for <arg3> at place,,,evt036arg03deceased,,
contact.funeralvigil.meet,Participant met face-to-face with participant during a funeral or vigil for something at <arg4> place,,,,evt036arg04place,
contact.mediastatement.unspecified,<arg1> communicated with participant at place,evt037arg01communicator,,,,
contact.mediastatement.unspecified,Participant communicated with <arg2> at place,,evt037arg02recipient,,,
contact.mediastatement.unspecified,Participant communicated with participant at <arg3> place,,,evt037arg03place,,
contact.mediastatement.broadcast,<arg1> communicated to recipient at place (one-way communication),evt038arg01communicator,,,,
contact.mediastatement.broadcast,Communicator communicated to <arg2> at place (one-way communication),,evt038arg02recipient,,,
contact.mediastatement.broadcast,Communicator communicated to recipient at <arg3> place (one-way communication),,,evt038arg03place,,
contact.negotiate.unspecified,<arg1> communicated with recipient about topic at place,evt039arg01participant,,,,
contact.negotiate.unspecified,Communicator communicated with <arg2> about topic at place,,evt039arg02participant,,,
contact.negotiate.unspecified,Communicator communicated with recipient about topic at <arg3> place,,,evt039arg03place,,
contact.negotiate.unspecified,Communicator communicated with recipient about <arg4> topic at place,,,,evt039arg04topic,
contact.negotiate.correspondence,<arg1> communicated remotely with participant about topic at place,evt040arg01participant,,,,
contact.negotiate.correspondence,Participant communicated remotely with <arg2> about topic at place,,evt040arg02participant,,,
contact.negotiate.correspondence,Participant communicated remotely with participant about topic at <arg3> place,,,evt040arg03place,,
contact.negotiate.correspondence,Participant communicated remotely with participant about <arg4> topic at place,,,,evt040arg04topic,
contact.negotiate.meet,<arg1> met face-to-face with recipient about topic at place,evt041arg01participant,,,,
contact.negotiate.meet,Communicator met face-to-face with <arg2> about topic at place,,evt041arg02participant,,,
contact.negotiate.meet,Communicator met face-to-face with recipient about topic at <arg3> place,,,evt041arg03place,,
contact.negotiate.meet,Communicator met face-to-face with recipient about <arg4> topic at place,,,,evt041arg04topic,
contact.prevarication.unspecified,<arg1> communicated with recipient about topic at place,evt042arg01communicator,,,,
contact.prevarication.unspecified,Communicator communicated with <arg2> about topic at place,,evt042arg02recipient,,,
contact.prevarication.unspecified,Communicator communicated with recipient about topic at <arg3> place,,,evt042arg03place,,
contact.prevarication.unspecified,Communicator communicated with recipient about <arg4> topic at place,,,,evt042arg04topic,
contact.prevarication.broadcast,<arg1> communicated to recipient about topic at place (one-way communication),evt043arg01communicator,,,,
contact.prevarication.broadcast,Communicator communicated to <arg2> about topic at place (one-way communication),,evt043arg02recipient,,,
contact.prevarication.broadcast,Communicator communicated to recipient about topic at <arg3> place (one-way communication),,,evt043arg03place,,
contact.prevarication.broadcast,Communicator communicated to recipient about <arg4> topic at place (one-way communication),,,,evt043arg04topic,
contact.prevarication.correspondence,<arg1> communicated remotely with recipient about topic at place,evt044arg01communicator,,,,
contact.prevarication.correspondence,Communicator communicated remotely with <arg2> about topic at place,,evt044arg02recipient,,,
contact.prevarication.correspondence,Communicator communicated remotely with recipient about topic at <arg3> place,,,evt044arg03place,,
contact.prevarication.correspondence,Communicator communicated remotely with recipient about <arg4> topic at place,,,,evt044arg04topic,
contact.prevarication.meet,<arg1> met face-to-face with recipient about topic at place,evt045arg01communicator,,,,
contact.prevarication.meet,Communicator met face-to-face with <arg2> about topic at place,,evt045arg02recipient,,,
contact.prevarication.meet,Communicator met face-to-face with recipient about topic at <arg3> place,,,evt045arg03place,,
contact.prevarication.meet,Communicator met face-to-face with recipient about <arg4> topic at place,,,,evt045arg04topic,
contact.publicstatementinperson.unspecified,<arg1> communicated with participant at place,evt046arg01communicator,,,,
contact.publicstatementinperson.unspecified,Participant communicated with <arg2> at place,,evt046arg02recipient,,,
contact.publicstatementinperson.unspecified,Participant communicated with participant at <arg3> place,,,evt046arg03place,,
contact.publicstatementinperson.broadcast,<arg1> communicated to recipient at place (one-way communication),evt047arg01communicator,,,,
contact.publicstatementinperson.broadcast,Communicator communicated to <arg2> at place (one-way communication),,evt047arg02recipient,,,
contact.publicstatementinperson.broadcast,Communicator communicated to recipient at <arg3> place (one-way communication),,,evt047arg03place,,
contact.requestadvise.unspecified,<arg1> communicated with recipient about topic at place,evt048arg01communicator,,,,
contact.requestadvise.unspecified,Communicator communicated with <arg2> about topic at place,,evt048arg02recipient,,,
contact.requestadvise.unspecified,Communicator communicated with recipient about topic at <arg3> place,,,evt048arg03place,,
contact.requestadvise.unspecified,Communicator communicated with recipient about <arg4> topic at place,,,,evt048arg04topic,
contact.requestadvise.broadcast,<arg1> communicated to recipient about topic at place (one-way communication),evt049arg01communicator,,,,
contact.requestadvise.broadcast,Communicator communicated to <arg2> about topic at place (one-way communication),,evt049arg02recipient,,,
contact.requestadvise.broadcast,Communicator communicated to recipient about topic at <arg3> place (one-way communication),,,evt049arg03place,,
contact.requestadvise.broadcast,Communicator communicated to recipient about <arg4> topic at place (one-way communication),,,,evt049arg04topic,
contact.requestadvise.correspondence,<arg1> communicated remotely with recipient about topic at place,evt050arg01communicator,,,,
contact.requestadvise.correspondence,Communicator communicated remotely with <arg2> about topic at place,,evt050arg02recipient,,,
contact.requestadvise.correspondence,Communicator communicated remotely with recipient about topic at <arg3> place,,,evt050arg03place,,
contact.requestadvise.correspondence,Communicator communicated remotely with recipient about <arg4> topic at place,,,,evt050arg04topic,
contact.requestadvise.meet,<arg1> met face-to-face with recipient about topic at place,evt051arg01communicator,,,,
contact.requestadvise.meet,Communicator met face-to-face with <arg2> about topic at place,,evt051arg02recipient,,,
contact.requestadvise.meet,Communicator met face-to-face with recipient about topic at <arg3> place,,,evt051arg03place,,
contact.requestadvise.meet,Communicator met face-to-face with recipient about <arg4> topic at place,,,,evt051arg04topic,
contact.threatencoerce.unspecified,<arg1> communicated with recipient about topic at place,evt052arg01communicator,,,,
contact.threatencoerce.unspecified,Communicator communicated with <arg2> about topic at place,,evt052arg02recipient,,,
contact.threatencoerce.unspecified,Communicator communicated with recipient about topic at <arg3> place,,,evt052arg03place,,
contact.threatencoerce.unspecified,Communicator communicated with recipient about <arg4> topic at place,,,,evt052arg04topic,
contact.threatencoerce.broadcast,<arg1> communicated to recipient about topic at place (one-way communication),evt053arg01communicator,,,,
contact.threatencoerce.broadcast,Communicator communicated to <arg2> about topic at place (one-way communication),,evt053arg02recipient,,,
contact.threatencoerce.broadcast,Communicator communicated to recipient about topic at <arg3> place (one-way communication),,,evt053arg03place,,
contact.threatencoerce.broadcast,Communicator communicated to recipient about <arg4> topic at place (one-way communication),,,,evt053arg04topic,
contact.threatencoerce.correspondence,<arg1> communicated remotely with recipient about topic at place,evt054arg01communicator,,,,
contact.threatencoerce.correspondence,Communicator communicated remotely with <arg2> about topic at place,,evt054arg02recipient,,,
contact.threatencoerce.correspondence,Communicator communicated remotely with recipient about topic at <arg3> place,,,evt054arg03place,,
contact.threatencoerce.correspondence,Communicator communicated remotely with recipient about <arg4> topic at place,,,,evt054arg04topic,
contact.threatencoerce.meet,<arg1> met face-to-face with recipient about topic at place,evt055arg01communicator,,,,
contact.threatencoerce.meet,Communicator met face-to-face with <arg2> about topic at place,,evt055arg02recipient,,,
contact.threatencoerce.meet,Communicator met face-to-face with recipient about topic at <arg3> place,,,evt055arg03place,,
contact.threatencoerce.meet,Communicator met face-to-face with recipient about <arg4> topic at place,,,,evt055arg04topic,
disaster.accidentcrash.accidentcrash,<arg1> person in vehicle crashed into something at place,evt057arg01driverpassenger,,,,
disaster.accidentcrash.accidentcrash,Person in <arg2> vehicle crashed into something at place,,evt057arg02vehicle,,,
disaster.accidentcrash.accidentcrash,Person in vehicle crashed into <arg3> at place,,,evt057arg03crashobject,,
disaster.accidentcrash.accidentcrash,Person in vehicle crashed into something at <arg4> place,,,,evt057arg04place,
disaster.diseaseoutbreak.diseaseoutbreak,<arg1> disease broke out among victims or population at place,evt148arg01disease ,,,,
disaster.diseaseoutbreak.diseaseoutbreak,Disease broke out among <arg2> victims or population at place,,evt148arg02victim ,,,
disaster.diseaseoutbreak.diseaseoutbreak,Disease broke out among victims or population at <arg3> place,,,evt148arg03place ,,
disaster.fireexplosion.fireexplosion,<arg1> caught fire or exploded from instrument at place,evt059arg01fireexplosionobject,,,,
disaster.fireexplosion.fireexplosion,Something caught fire or exploded from <arg2> instrument at place,,evt059arg02instrument,,,
disaster.fireexplosion.fireexplosion,Something caught fire or exploded from instrument at <arg3> place,,,evt059arg03place,,
genericcrime.genericcrime.genericcrime,<arg1> committed a crime against victim at place,evt154arg01perpetrator ,,,,
genericcrime.genericcrime.genericcrime,Perpetrator  committed a crime against <arg2> at place,,evt154arg02victim ,,,
genericcrime.genericcrime.genericcrime,Perpetrator  committed a crime against victim at <arg3> place,,,evt154arg03place ,,
government.agreements.unspecified,<arg1> and participant signed an agreement in place,evt060arg01participant,,,,
government.agreements.unspecified,Participant and <arg2> signed an agreement in place,,evt060arg02participant,,,
government.agreements.unspecified,Participant and participant signed an agreement in <arg3> place,,,evt060arg03place,,
government.agreements.acceptagreementcontractceasefire,<arg1> and participant signed an agreement in place,evt061arg01participant,,,,
government.agreements.acceptagreementcontractceasefire,Participant and <arg2> signed an agreement in place,,evt061arg02participant,,,
government.agreements.acceptagreementcontractceasefire,Participant and participant signed an agreement in <arg3> place,,,evt061arg03place,,
government.agreements.rejectnullifyagreementcontractceasefire,<arg1> rejected or nullified an agreement with participant in place,evt062arg01rejecternullifier,,,,
government.agreements.rejectnullifyagreementcontractceasefire,Rejecter rejected or nullified an agreement with <arg2> in place,,evt062arg02otherparticipant,,,
government.agreements.rejectnullifyagreementcontractceasefire,Rejecter rejected or nullified an agreement with participant in <arg3> place,,,evt062arg03place,,
government.agreements.violateagreement,<arg1> violated an agreement with participant in place,evt063arg01violator,,,,
government.agreements.violateagreement,Violator violated an agreement with <arg2> in place,,evt063arg02otherparticipant,,,
government.agreements.violateagreement,Violator violated an agreement with participant in <arg3> place,,,evt063arg03place,,
government.convene.convene,<arg1> convened somebody at place,evt145arg01convener ,,,,
government.convene.convene,Convener convened <arg2> at place,,evt145arg02convenedthing ,,,
government.convene.convene,Convener convened somebody at <arg3> place,,,evt145arg03place ,,
government.formation.unspecified,<arg1> was formed by founder in place,evt064arg01gpe,,,,
government.formation.unspecified,Somebody was formed by <arg2> in place,,evt064arg02founder,,,
government.formation.unspecified,Somebody was formed by founder in <arg3> place,,,evt064arg03place,,
government.formation.mergegpe,<arg1> merged with participant at place,evt065arg01participant,,,,
government.formation.mergegpe,Participant merged with <arg2> at place,,evt065arg02participant,,,
government.formation.mergegpe,Participant merged with participant at <arg3> place,,,evt065arg03place,,
government.formation.startgpe,<arg1> was started by founder in place,evt066arg01gpe,,,,
government.formation.startgpe,Something was started by <arg2> in place,,evt066arg02founder,,,
government.formation.startgpe,Something was started by founder in <arg3> place,,,evt066arg03place,,
government.legislate.legislate,<arg1> legislature enacted law in place,evt068arg01governmentbody,,,,
government.legislate.legislate,Government legislature enacted <arg2> law in place,,evt068arg02law,,,
government.legislate.legislate,Government legislature enacted law in <arg3> place,,,evt068arg03place,,
government.spy.spy,<arg1> spied on something to the benefit of beneficiary in place,evt070arg01spy,,,,
government.spy.spy,Spy spied on <arg2> to the benefit of beneficiary in place,,evt070arg02observedentity,,,
government.spy.spy,Spy spied on something to the benefit of <arg3> in place,,,evt070arg03beneficiary,,
government.spy.spy,Spy spied on something to the benefit of beneficiary in <arg4> place,,,,evt070arg04place,
government.vote.unspecified,<arg1> voted for candidate on ballot with results in place,evt071arg01voter,,,,
government.vote.unspecified,Voter voted for <arg2> on ballot with results in place,,evt071arg02candidate,,,
government.vote.unspecified,Voter voted for candidate on <arg3> ballot with results in place,,,evt071arg03ballot,,
government.vote.unspecified,Voter voted for candidate on ballot with <arg4> results in place,,,,evt071arg04result,
government.vote.unspecified,Voter voted for candidate on ballot with results in <arg5> place,,,,,evt071arg05place
government.vote.castvote,<arg1> voted for candidate on ballot with results in place,evt072arg01voter,,,,
government.vote.castvote,Voter voted for <arg2> on ballot with results in place,,evt072arg02candidate,,,
government.vote.castvote,Voter voted for candidate on <arg3> ballot with results in place,,,evt072arg03ballot,,
government.vote.castvote,Voter voted for candidate on ballot with <arg4> results in place,,,,evt072arg04result,
government.vote.castvote,Voter voted for candidate on ballot with results in <arg5> place,,,,,evt072arg05place
government.vote.violationspreventvote,<arg1> prevented voter from voting for candidate on ballot in place,evt073arg01preventer,,,,
government.vote.violationspreventvote,Preventer prevented <arg2> from voting for candidate on ballot in place,,evt073arg02voter,,,
government.vote.violationspreventvote,Preventer prevented voter from voting for <arg3> on ballot in place,,,evt073arg03candidate,,
government.vote.violationspreventvote,Preventer prevented voter from voting for candidate on <arg4> ballot in place,,,,evt073arg04ballot,
government.vote.violationspreventvote,Preventer prevented voter from voting for candidate on ballot in <arg5> place,,,,,evt073arg05place
inspection.sensoryobserve.unspecified,<arg1> observed something in place,evt074arg01observer,,,,
inspection.sensoryobserve.unspecified,Observer observed <arg2> in place,,evt074arg02observedentity,,,
inspection.sensoryobserve.unspecified,Observer observed something in <arg3> place,,,evt074arg03place,,
inspection.sensoryobserve.inspectpeopleorganization,<arg1>  inspected something in place,evt075arg01inspector,,,,
inspection.sensoryobserve.inspectpeopleorganization,Inspector inspected <arg2> in place,,evt075arg02inspectedentity,,,
inspection.sensoryobserve.inspectpeopleorganization,Inspector inspected something in <arg3> place,,,evt075arg03place,,
inspection.sensoryobserve.monitorelection,<arg1> monitored something taking part in an election in place,evt076arg01monitor,,,,
inspection.sensoryobserve.monitorelection,Monitor monitored <arg2> taking part in an election in place,,evt076arg02monitoredentity,,,
inspection.sensoryobserve.monitorelection,Monitor monitored something taking part in an election in <arg3> place,,,evt076arg03place,,
inspection.sensoryobserve.physicalinvestigateinspect,<arg1>  inspected something in place,evt077arg01inspector,,,,
inspection.sensoryobserve.physicalinvestigateinspect,Inspector inspected <arg2> in place,,evt077arg02inspectedentity,,,
inspection.sensoryobserve.physicalinvestigateinspect,Inspector inspected something in <arg3> place,,,evt077arg03place,,
inspection.targetaimat.targetaimat,<arg1> physically targeted target with instrument at place,evt153arg01targeter ,,,,
inspection.targetaimat.targetaimat,Targeter physically targeted <arg2> with instrument at place,,evt153arg02target ,,,
inspection.targetaimat.targetaimat,Targeter physically targeted target with <arg3> instrument at place,,,evt153arg03instrument ,,
inspection.targetaimat.targetaimat,Targeter physically targeted target with instrument at <arg4> place,,,,evt153arg04place ,
justice.arrestjaildetain.arrestjaildetain,<arg1> arrested or jailed detainee for crime at place,evt079arg01jailer,,,,
